first/last,UBL,UBR,FDR,FDL,DFL,DFR,DBR,DBL,RUB,RDB,RDF,LDB,LUB,LDF,BDL,BDR,BUR,BUL,,PARITY:,,,
UBL,,"[R UD : [R D' R', U]]","[D'U' : [U', R' D R]]","[DU' : [U', R' D' R]]",[U : r U R' U' r2' D R D' r],"[R' UD : [R D' R', U]]","[R D' R' U' : [U', R' D R]]","[U' R' D' R : [D, R U' R']]","[R U : [R D R', U]]","[U : [R D R', U]]","[U' : [U', R' D' R]]","[U : [R D' R', U]]",,"[U' : [U', R' D R]]","[U'D : [U', R' D R]]","[UD : [R D' R', U]]","[l U : [R' D R, U2]]",,,L' U' L F L' U' L U L F' L2' U L U,,PROGRESS (270 TOTAL):,270
UBR,"[R UD : [U, R D' R']]",,"[D'U : [R' D R, U2]]","[UD : [R' D' R, U2]]","[R UD R' : [R' U R, D']]","[R' D R : [R D' R', U2]]","[U' R D' R' : [U2, R' D R]]","[R' B R U : [R' D' R, U2]]",,"[R D R', U2]","[U : [R' D' R, U2]]","[R D' R', U2]","[U R' UD : [R D R', U2]]","[U : [R' D R, U2]]","[UD : [R' D R, U2]]","[D : [R D' R', U2]]",,"[l U'D : [R' D' R, U2]]",,U F R U' R' U' R U R' F' R U R' U' R' F R F' U',,,
FDR,"[D'U' : [R' D R, U']]","[D'U' : [R' D R, U2]]",,"[R D : [R' D' R, U']]","[R U' : [U R' U' R, F2]]",,"[R D' : [R' D R, U']]","[D' R : [R U' R', D]]","[R U' : [R D R', U']]","[D', R U' R']",,"[R U' : [R D' R', U']]","[UD' R' : [U2, R' D R]]","[D, R U' R']","[D2, R U' R']","[D' R' D' : [R U' R', D2]]","[D' R' : [U', R' D R]]","[R U' R' : [U', R' D' R]]",,R U' R U R' F' R U R' U' R' F R2 U' R2',,,
FDL,"[DU' : [R' D' R, U']]","[U'D : [R' D' R, U2]]","[R D : [U', R' D' R]]",,,"[R' U'D' : [R U R', D2]]","[U'D R : [U', R D' R']]","[U'D R D : [R' D' R, U]]","[R2 U' : [R U R', D]]","[R U' : [R U R', D]]","[U' : [R U R', D]]","[U'D : [D, R U R']]","[U' R U : [R' D R, U2]]",,"[D R' D : [R U' R', D2]]","[U'D' : [R U R', D2]]","[R' D : [U', R' D' R]]","[U'D R' U' : [D', R U R']]",,UD R' F R2 U' R' U' R U R' F' R U R' D'U2,,,
DFL,[U : r' D R' D' r2 U R U' r'],"[R UD R' : [D', R' U R]]","[R U' : [F2, U R' U' R]]",,,"[D : [D' R D R', F2]]","[R' U'D' R : [R D' R', U]]","[D' R' U' R : [R D' R', U]]","[U2 R' : [R' D R, U']]","[U2 R' : [R' D R, U]]","[U' R D : [U, R' D' R]]","[D R' U'D : [R U R', D2]]","[U'D' R : [R D' R', U2]]",,"[R' F R : [U2, R D' R']]","[U'D' R : [U', R D' R']]","[U'D' R : [R D' R, U]]","[U R U R' : [R' D R, U]]",,D2 R2' U' R2 U R2' D' R2 U R2' U' R2 U'D',,,
DFR,"[R' UD : [U, R D' R']]","[R' D R : [U2, R D' R']]",,"[R' U'D : [R U R', D2]]","[D : [F2, D' R D R']]",,"[D' R D R', F2]","[U' R U' R' U' : [R D' R', U2]]","[D R : [D', R U' R']]","[D' R U' : [F2, U R' U' R]]",,"[R' U'D' : [D', R U R']]","[R' U' R U : [R' D' R, U2]]","[D R D' : [U', R' D R]]","[D R : [D, R U' R']]","[U R' D : [U, R D' R']]","[R' DU' : [U', R D' R']]","[UD R U : [R' U' R, D]]",,D R2' U' R2 U R2' D' R2 U R2' U' R2 U'D',,,
DBR,"[R D'U' : [R' D R, U']]","[U' R D' R' : [R' D R, U2]]","[R D' : [U', R' D R]]","[U'D R : [R D' R', U']]","[R' U'D' R : [U, R D' R']]","[F2, D' R D R']",,"[R' U' R : [U, R D' R']]","[R : [D', R U' R']]",,"[F D : [R U R', D2]]","[R2 U' : [R D' R', U']]","[U'D R : [R D' R', U2]]","[R : [D, R U' R']]","[R2 D : [R' D R, U']]",,"[R' U' R : [U, R D R']]","[U R U : [D, R' U' R]]",,R2 U' R U R' F' R U R' U' R' F R2 U' R,,,
DBL,"[U' R' D' R : [R U' R', D]]","[R' B R U' : [R' D' R, U2]]","[D' R : [D, R U' R']]","[U'D R D : [U, R' D' R]]","[D' R' U' R : [U, R D' R']]","[U' R U' R' U : [R D' R', U2]]","[R' U' R : [R D' R', U]]",,"[D' R : [D', R U' R']]",D' R' D r2 U' R U r2',"[U' R : [R D' R', U']]",,"[U' R : [R D' R', U2]]","[U' D R : [R' U R U', F2]]",,"[U' R U'D : [R' U R, D2]]","[U' R : [R D' R', U]]","[UD' R U : [R' U' R, D]]",,D' R2 U' R U R' F' R U R' U' R' F R2 U' R D,,,
RUB,"[R U : [U, R D R']]",,"[R U' : [U', R D R']]","[R2 U' : [D, R U R']]","[U2 R' : [U', R' D R]]","[D R : [R U' R', D']]","[R : [R U' R', D']]","[D' R : [R U' R', D']]",,"[U R U : [R' D' R, U]]","[U' : [R B' R', F']]","[U R : [R D' R', U]]","[U R : [R2' D R2 D' R2, U]]","[R D : [R U' R', D2]]","[l' U : [R' D R, U]]","[UD R : [R D' R', U]]",,F R' F' r U R U' r',,U' L U L' U' L F L' U' L U L F' L2 U2,,,
RDB,"[U : [U, R D R']]","[U2, R D R']","[R U' R', D']","[R U' : [D, R U R']]","[U2 R' : [U, R' D R]]","[D' R U' : [U R' U' R, F2]]",,r2 U' R' U r2' D' R D,"[U R U : [U, R' D' R]]",,"[U' R D' : [U, R' D R]]","[R D' : [R' U2 R, D2]]","[R U R' U : [R D R', U2]]","[D : [R U' R', D2]]","[D' : [D', R U' R']]",,"[D2 R' : [U', R' D R]]","[L', U R' U']",,U R2 U' R' U' R U R' F' R U R' U' R' F U',,,
RDF,"[U' : [R' D' R, U']]","[U' : [R' D' R, U2]]",,"[U' : [D, R U R']]","[U' R D : [R' D' R, U]]",,"[F D' : [R U R', D2]]","[U' R : [U', R D' R']]","[U' : [F', R B' R']]","[U' R D' : [R' D R, U]]",,"[U' : [D2, R U R']]","[U R' U : [R D R', U2]]","[R' D : [R U' R', D2]]","[R' D' : [D', R U' R']]","[U' : [D', R U R']]","[R' U' : [U', R D R']]","[L', U R2 U']",,U R' F R2 U' R' U' R U R' F' R U R' U2,,,
LDB,"[U : [U, R D' R']]","[U2, R D' R']","[R U' : [U', R D' R']]","[U'D : [R U R', D]]","[D R' U'D' : [R U R', D2]]","[R' U'D' : [R U R', D']]","[U' R D' R' : [U, R' D R]]",,"[U R : [U, R D' R']]","[R D : [R' U2 R, D2]]","[U' : [R U R', D2]]",,"[U R' U : [R D' R', U2]]","[U'D R' : [F', R D' R' D]]",,"[R' U2 R, D']","[R' U' : [U', R D' R']]","[U2 R U' : [R' U R, D']]",,U' R UD' R' F' R U R' U' R' F R2 U' R' U' R D R' U,,,
LUB,,"[U R' U'D : [R D R', U2]]","[UD' R' : [R' D R, U2]]","[U' R U' : [R' D R, U2]]","[U'D' R : [U2, R D' R']]","[R' U' R U' : [R' D' R, U2]]","[U'D R : [U2, R D' R']]","[U' R : [U2, R D' R']]","[U R : [U, R2' D R2 D' R2]]","[R U R' U' : [R D R', U2]]","[U R' U' : [R D R', U2]]","[U R' U' : [R D' R', U2]]",,"[U R' : [R' D R, U2]]","[UD R' : [R' D R, U2]]","[U' R U' : [R' D' R, U2]]","[U R' : [R' D' R, U2]]",,,U' L U' x U2' R2' F R F' R U2' r' U L U L' U,,,
LDF,"[U' : [R' D R, U']]","[U' : [R' D R, U2]]","[R U' R', D]",,,"[D R D' : [R' D R, U']]","[R : [R U' R', D]]","[U' D R : [F2, R' U R U']]","[R D' : [R U' R', D2]]","[D' : [R U' R', D2]]","[R' D' : [R U' R', D2]]","[U'D R' : [R D' R' D, F']]","[U R' : [U2, R' D R]]",,"[D : [D, R U' R']]","[R' U' : [R' D R, U2]]","[R' : [U', R' D R]]","[U' R' U' : [D, R U R']]",,D R U' R U R' F' R U R' U' R' F R2 U' R2' D',,,
BDL,"[U'D : [R' D R, U']]","[U'D : [R' D R, U2]]","[R U' R', D2]","[D R' D' : [R U' R', D2]]","[R' F R : [R D' R', U2]]","[D R : [R U' R', D]]","[R2 D : [U', R' D R]]",,"[l' U : [U, R' D R]]","[D' : [R U' R', D']]","[R' D' : [R U' R', D']]",,"[UD R' : [U2, R' D R]]","[D : [R U' R', D]]",,"[R' U'D : [R' D R, U2]]","[D R' : [U', R' D R]]","[R' F R : [R D' R', U]]",,UD' R2 U' R' U' R U R' F' R U R' U' R' F U'D,,,
BDR,"[UD : [U, R D' R']]","[D : [U2, R D' R']]","[D' R' D : [R U' R', D2]]","[U'D : [R U R', D2]]","[U'D' R : [R D' R', U']]","[U R' D : [R D' R', U]]",,"[U' R U'D' : [R' U R, D2]]","[UD R : [U, R D' R']]",,"[U' : [R U R', D']]","[D', R' U2 R]","[U' R U : [R' D' R, U2]]","[R' U : [R' D R, U2]]","[R' UD : [R' D R, U2]]",,"[D R' U' : [U', R D' R']]","[U'D' R' U' : [D', R U R']]",,UD' R' F R2 U' R' U' R U R' F' R U R' DU2,,,
BUR,"[l U' : [R' D R, U2]]",,"[D' R' : [R' D R, U']]","[R' D : [R' D' R, U']]","[U'D' R : [U, R D' R]]","[R' DU' : [R D' R', U']]","[R' U' R : [R D R', U]]","[U' R : [U, R D' R']]",,"[D2 R' : [R' D R, U']]","[R' U' : [R D R', U']]","[R' U' : [R D' R', U']]","[U R' : [U2, R' D' R]]","[R' : [R' D R, U']]","[D R' : [R' D R, U']]","[D R' U' : [R D' R', U']]",,"[L', U R U']",,R' U' R U R' F' R U R' U' R' F R2 U',,,
BUL,,"[l UD : [R' D' R, U2]]","[R U' R' : [R' D' R, U']]","[U'D R' U' : [R U R', D']]","[U R U R' : [U, R' D R]]","[UD R U : [D, R' U' R]]","[U R U : [R' U' R, D]]","[UD' R U : [D, R' U' R]]",r U R' U' r' F R F',"[U R' U', L']","[U R2 U', L']","[U2 R U' : [D', R' U R]]",,"[U' R' U' : [R U R', D]]","[R' F R : [U, R D' R']]","[U'D' R' U' : [R U R', D']]","[U R U', L']",,,U R' U' R' U' R U R' F' R U R' U' R' F R' U',,,
