1st Target:,UBL,UFR,UFL,LUB,LUF,LDF,LDB,FUL,FUR,FDR,FDL,RUF,RDB,RDF,BUL,BDL,BDR,DFL,DFR,DBR,DBL
UBL,,,"[R D U2 : [R D' R' , U']]",,"[U R' : [U2 , R' D' R]]","[U2 : [R' D R , U']]","[U , R D' R']","[F R' F' , L]",,"[D : [U , R D R']]","[D' : [U , R D' R']]",,"[U , R D R']","[U2 : [R' D' R , U']]",,"[D' : [U , R D R']]","[D : [U , R D' R']]","[L' : [F R' F' , L2]]","[R' D R : [U , R D' R']]","[U , R D' R' U R' D R]","[R' U' D' R : [D' , R U' R']]"
UFR,,,,,,,,,,,,,,,,,,,,,
UFL,"[R U D : [R D' R' , U]]",,,"[U R' D U' : [R D R' , U2]]",,"[U' : [R' D R , U2]]","[U2 , R D' R']",,,"[D' U' : [R' D R , U2]]","[D U' : [R' D' R , U2]]",,"[U2 , R D R']","[U' : [R' D' R , U2]]","[l U D : [R' D' R , U2]]","[D U' : [R' D R , U2]]","[D' U' : [R' D' R , U2]]","[D R2' D R2 : [U' , R2' D' R2 D R2']]","[R2' D R2 : [U' , R2' D' R2 D R2']]","[D' R2' D R2 : [U' , R2' D' R2 D R2']]","[D2' R2' D R2 : [U' , R2' D' R2 D R2']]"
LUB,,,"[U R' D U : [R D R' , U2]]",,"[L' , U R U']","[R U R2' : [D , R U R']]","[R U : [R' U' R , D']]","[B' , l' U l]",,"[D R U : [R' U' R , D]]","[D' R U : [R' U' R , D']]",,"[R U : [R' U' R , D]]","[R U' : [R D R' , U2]]",,"[D' R U : [R' U' R , D]]","[U' L' U , R']","[D' U R U' : [D' , R' U R]]","[R' U R2 : [U' , R' D' R]]","[U D R U' : [D' , R' U R]]","[U R U' : [D' , R' U R]]"
LUF,"[U R2 U' : [D' , R U' R']]",,,"[U R U' , L']",,"[R' D : [U' , R' D' R]]","[U' R2 : [D' , R' U R]]",,,"[R' U2 : [R D R' , U]]","[D' U' R2 : [D' , R' U R]]",,"[D R' U2 : [R D' R' , U]]","[U R' : [D , R' U R]]","[l U : [R' D R , U2]]","[R' U2 : [R D' R' , U]]","[D U' R2 : [D' , R' U R]]","[R' : [U' , R' D R]]","[D' R' : [U' , R' D R]]","[U' R D : [R D R' , U]]","[R' D : [U' , R' D R]]"
LDF,"[U : [R' D R , U]]",,"[U : [R' D R , U2]]","[U R U' , L2']","[R' D : [R' D' R , U']]",,"[U R' D : [F' , D' R D R']]","[U2 R' : [U' , R' D R]]",,"[D : [R' U' R , D]]",,,"[R' U' R , D2]","[R' D' : [R U R' , D2]]","[D R' U' : [R D R' , U2]]","[D' : [R' U' R , D']]","[U' R' U2 : [R' D R , U']]",,"[R' D R : [U' , R D' R']]","[D2 R' : [U , R' D R]]","[D R' U D : [R U' R' , D2']]"
LDB,"[R D' R' , U]",,"[R D' R' , U2]","[R U : [D' , R' U' R]]","[U' R : [U , R D' R']]","[U D R' : [F' , R D' R' D]]",,"[R D2 : [R U' R' , D]]",,"[R D2 : [R U R' , D]]","[U D : [R U R' , D]]",,"[U R D : [R' U' R , D2]]","[U' D : [R' U R , D2]]","[R D' : [B2 , D R' D' R]]",,"[U' : [R' U R , D']]","[D' R' : [B2' , R U' R' U]]","[U' R2' : [U , R D' R']]","[U' D' R' D : [R D' R' , U]]",
FUL,"[L , F R' F']",,,"[l' U l , B']",,"[U2 R2 : [D , R U' R']]","[R D' : [R U' R' , D']]",,,"[D R : [D' , R U' R']]","[R D' : [R U' R' , D2]]",,"[R : [D' , R U' R']]","[R U' : [R D R' , U']]","[R2 U R' U' : [R D R' , U2]]","[D' R : [D' , R U' R']]","[U' R' U2 : [R' D' R , U']]","[D U' R2' : [U , R D R']]","[U' R2' : [U , R D R']]","[D' U' R2' : [U , R D R']]","[U R : [U , R D' R']]"
FUR,,,,,,,,,,,,,,,,,,,,,
FDR,"[D : [R D R' , U]]",,"[U D' : [R' D R , U2]]","[D R U : [D , R' U' R]]","[R' U' : [R D R' , U']]","[D2 : [R' U' R , D']]","[R D' : [R U R' , D']]","[D R2 : [U' , R' D' R]]",,,"[U D' R' D : [F' , D' R D R']]",,"[R' U' R , D]",,"[R' U' : [R D R' , U2]]","[D' : [R' U' R , D2]]","[D' R' D' : [R U R' , D2]]","[R' U D : [R U' R' , D2]]",,"[D R' D' : [R D R' , U']]","[D R' : [U , R' D R]]"
FDL,"[D' : [R D' R' , U]]",,"[U D : [R' D' R , U2]]","[D' R U : [D' , R' U' R]]","[U D R2' : [U , R D R']]",,"[U D2 : [R U R' , D']]","[R D : [R U' R' , D2']]",,"[U R' : [F' , R D' R' D]]",,,"[U R D : [R' U' R , D]]","[U : [R U R' , D]]","[D R' D U' : [R D' R' , U2]]","[D R' D : [R U R' , D2]]","[D' U : [R U R' , D2]]",,"[U' R2' : [U , R D2 R']]","[U D R : [U' , R D' R']]","[U D R D : [R' D' R , U]]"
RUF,,,,,,,,,,,,,,,,,,,,,
RDB,"[R D R' , U]",,"[R D R' , U2]","[R U : [D , R' U' R]]","[D R' U' : [R D' R' , U']]","[D2 , R' U' R]","[U R D' : [R' U' R , D2]]","[R2 : [U' , R' D' R]",,"[D , R' U' R]","[U R D2 : [R' U' R , D']]",,,"[R U' : [D , R' U' R]]","[D R' U' : [R D' R' , U2]]","[D' , R' U' R]",,"[R' : [U , R' D R]]","[R' : [R D' R' U R' D R , U']]",,"[R' D' : [R D R' , U']]"
RDF,"[U : [R' D' R , U]]",,"[U : [R' D' R , U2]]","[R U : [R D R' , U2]]","[U R2' : [U , R D R']]","[R' D : [R U R' , D2]]","[U' D' : [R' U R , D2]]","[R U2 : [R D R' , U]]",,,"[U : [D , R U R']]",,"[R U' : [R' U' R , D]]",,"[R' D U' : [R D' R' , U2]]","[R' D2 : [R U R' , D]]","[U' : [R' U R , D]]","[U R D : [R' D' R , U]]",,"[D R' : [B2 , R U' R' U]]","[U R : [U' , R D' R']]"
BUL,,,"[l D U' : [R' D' R , U2]]",,"[l U' : [R' D R , U2]]","[D R' U : [R D R' , U2]]","[D' R : [B2 , R' D R D']]","[R2 U R' U : [R D R' , U2]]",,"[R' U : [R D R' , U2]]","[D R' D U : [R D' R' , U2]]",,"[D R' U : [R D' R' , U2]]","[R' U D : [R D' R' , U2]]",,"[R' U : [R D' R' , U2]]","[R : [B2 , R' D R D']]","[R' : [U2 , R' D R]]","[D' R' : [U2 , R' D R]]","[D R' D' U : [R D R' , U2]]","[R' U D' : [R D R' , U2]]"
BDL,"[D' : [R D R' , U]]",,"[U D : [R' D R , U2]]","[D' R U : [D , R' U' R]]","[R' U' : [R D' R' , U']]","[D2' : [R' U' R , D]]",,"[D' R2 : [U' , R' D' R]]",,"[D : [R' U' R , D2]]","[D R' D' : [R U R' , D2]]",,"[R' U' R , D']","[R' D' : [R U R' , D']]","[R' U' : [R D' R' , U2]]",,"[U' L U , R']","[D' R' D' : [R D R' , U']]","[D' R' : [U , R' D R]]","[U' R U D : [R' U' R , D2]]",
BDR,"[D : [R D' R' , U]]",,"[U D' : [R' D' R , U2]]","[R' , U' L' U]","[D U' R : [U , R D' R']]","[U' R' U : [R' D R , U]]","[U' : [D' , R' U R]]","[U' R' U : [R' D' R , U]]",,"[D' R' D : [R U R' , D2]]","[U D : [R U R' , D2']]",,,"[U' : [D , R' U R]]","[D R D' : [B2 , D R' D' R]]","[R' , U' L U]",,"[D' U R : [U' , R D' R']]","[U' R' D : [R D' R' , U]]",,"[R' : [B2' , R U' R' U]]"
DFL,"[R' U R' : [U' , R' D R]]",,"[D2 R2' : [U' , R2 D' R2' D R2]]","[D' U R U' : [R' U R , D']]","[R2 : [D , R U' R']]",,"[D' U' R' U : [B2' , U' R U R']]","[D' U R2 : [D' , R' U R]]",,"[R' U D' : [R U' R' , D2]]",,,"[R2' : [D , R U R']]","[U R D : [U , R' D' R]]","[R2 U' : [D , R U' R']]","[D' R' D' : [U' , R D R']]","[D' U R2 : [D' , R' U' R]]",,"[R' U R2 : [U' , R' D R]]","[R2' : [D , R2 U R2' U' R2]]","[R' U D2 : [R U' R' , D']]"
DFR,"[R' D R2 : [D' , R' U R]]",,"[D R2' : [U' , R2 D' R2' D R2]]","[R' U R : [D' , R U' R']]","[D' R2' : [D , R U' R']]","[R' D R2 : [D' , R' U' R]]","[U' R' : [D' , R' U R]]","[U' R' : [D , R' U R]]",,,"[U' R' : [D2' , R' U R]]",,"[R' : [U' , R D' R' U R' D R]]",,"[D' R2' : [D , R U2 R']]","[D' R' : [R' D R , U]]","[U' R' D : [U , R D' R']]","[R' U R : [D , R U' R']]",,"[R2 U' R2' U R2 , D]","[R2' U R2 : [D' , R2' U' R2 U R2']]"
DBR,"[R D' R' U R' D R , U]",,"[R2' : [U' , R2 D' R2' D R2]]","[U D R U' : [R' U R , D']]","[U' R D : [U , R D R']]","[D2 R2' : [D , R U R']]","[D' U' R' D : [U , R D' R']]","[U' D' R' : [D , R' U R]]",,"[D R' D' : [U' , R D R']]","[U D R2 : [D' , R' U' R]]",,,"[D U' R' U : [B2' , U' R U R']]","[D R' D' U' : [R D R' , U2]]","[U' R U D' : [R' U' R , D2]]",,"[U R2' U' R2 : [D , R2' U R2 U' R2']]","[D , R2 U' R2' U R2]",,"[D' , R2 U' R2' U R2]"
DBL,"[R U R' : [B2' , R U' R' U]]",,"[D' R2' : [U' , R2 D' R2' D R2]]","[U R U' : [R' U R , D']]","[D R2' : [D , R U' R']]","[D R' U D' : [R U' R' , D2]]",,"[U R2 : [D' , R' U R]]",,"[D R2' : [D , R U R']]","[U D R D : [U , R' D' R]]",,"[R' D' : [U' , R D R']]","[U R2 : [D' , R' U' R]]","[R' D' U' : [R D R' , U2]]",,"[U' R' U : [B2' , U' R U R']]","[R' U D : [R U' R' , D]]","[U R2' : [D' , R2 U' R2' U R2]]","[R2 U' R2' U R2 , D']",
