1st Target:,UB,UR,UF,LF,LD,LB,FU,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL
UB,,,,,,,,,,,,,,,,,,,,,,
UR,,,,,,,,,,,,,,,,,,,,,,
UF,,,,,,,,,,,,,,,,,,,,,,
LF,,,,,"[S' , U L U']","[S L' : [S' , L2]]",,"[U' : [R U' R' , E]]","[M' U2 : [R' E R , U]]",,,"[u' R' U' R : [E' , R2']]","[R E R : [S , R2']]","[E R : [S , R2']]",,"[U : [L U' L' , E']]","[M U2 : [R' E R , U']]","[u' R2 : [E' , R' U' R]]","[R' F' : [R S R' , F']]","[U u R' : [E' , R2]]","[l u' L' : [E' , L2]]","[E L' : [E' , L2]]"
LD,,,,"[U L U' , S']",,"[U L' U' , S']",,"[S , L F2' L']","[S , L F L']","[L' u : [L U' L' , E]]",,"[U' F R : [S' , R2']]","[U' R' F R : [S' , R2']]","[L' F2 L , S']",,"[L u' : [L' U L , E']]","[S , L' B' L]","[S , L' B2' L]","[L' F L , S']","[U' : [S , L' F' L]]","[L B' L' , S']",
LB,,,,"[S L : [S' , L2']]","[S' , U L' U']",,,"[u R2' : [E , R U R']]","[E : [L' , U' M' U]]","[U' : [L' U L , E]]",,"[E' R' : [S , R2]]","[R' E' R' : [S , R2]]","[u' R U' R : [E , R2']]",,,"[M U2 : [R E' R' , U']]","[U : [R' U R , E']]","[f L : [S' , L2']]","[U' u' R : [E , R2']]","[l U : [R' E R , U]]","[E' L : [E , L2']]"
FU,,,,,,,,,,,,,,,,,,,,,,
FR,,,,"[u' : [R U' R' , E']]","[L F2' L' , S]","[U' R2 : [E' , R' U' R]]",,,"[U2 : [R , U M' U']]","[U' L U L' : [E' , L2]]",,"[u : [R U R' , E]]","[L E' L' : [S , L2]]",,,"[U' L' U L' : [E' , L2]]","[L B' : [L2' , E']]","[R : [S , R2']]","[R U' : [M' , U2]]",U R U' R' U' R' U' R U R,"[R U : [M , U2']]","[L' : [E' , L2]]"
FD,,,,"[M' U' : [R' E R , U']]","[L F L' , S]","[M' U' : [R E' R' , U']]",,"[U' : [M' , U' R U]]",,"[U' M' U , L']",,"[M' : [U , L' E L]]","[L : [F , L S L']]","[M' : [U , l E' l']]",,"[U' M' U , L]","[d2 , M' U' M]","[F' R : [S , R2']]",,"[R' F' R : [S , R2']]","[l' M' : [U L U' , M]]","[S U' : [M' , U2]]"
FL,,,,,"[L' U : [L U' L' , E']]","[u' : [L' U L , E']]",,"[U' R' U' R : [E , R2']]","[L' , U' M' U]",,,"[L' , S r' S']","[E r E' , L]","[u : [L' U' L , E]]",,"[U2 L' : [S' , L2]]","[L' , U M U']","[U' L U L' : [E , L2]]","[L' , U M2 U']","[U2 R : [E , R2']]","[L' , U' M2 U]","[E2' L : [E , L2']]"
RU,,,,,,,,,,,,,,,,,,,,,,
RB,,,,"[u' R' U' R' : [E' , R2]]","[U' F R' : [S' , R2]]","[E' R : [S , R2']]",,"[U : [R U R' , E']]","[l' : [E , L U L']]","[L' u' : [L U L' , E']]",,,"[R' , E l' E']","[S' R : [S' , R2']]",,"[U' : [L U L' , E]]","[L' : [E , l U' l']]",,"[R2' : [F' , R S R']]","[U' u' R' : [E' , R2]]","[l' M' : [E , L U L']]","[E' L' : [E' , L2]]"
RD,,,,"[R E R' : [S , R2]]","[U' R' F R' : [S' , R2]]","[R' E' R : [S , R2']]",,"[L E' L : [S , L2']]","[L2 : [S , L' F L]]","[L , E r E']",,"[E l' E' , R']",,"[E' L E , r]",,"[l' , E' R' E]","[M U M' , D]","[L' E L' : [S , L2]]","[R' f' R : [S' , R2']]",,"[R' : [B , R' S R]]","[U' : [S' , R F R']]"
RF,,,,"[E R' : [S , R2]]","[S' , L' F2 L]","[u' R U' R' : [E , R2]]",,,"[L : [E' , l' U l]]","[U : [L' U' L , E']]",,"[S' R' : [S' , R2]]","[r , E' L E]",,,"[L u : [L' U' L , E]]","[l : [E' , L' U' L]]","[U' : [R' U' R , E]]","[F' , R S R']","[U u R : [E , R2']]","[r : [S' , L F L']]","[E L : [E , L2']]"
BU,,,,,,,,,,,,,,,,,,,,,,
BL,,,,"[u : [L U' L' , E]]","[L U : [L' U' L , E]]",,,"[U' L' U L : [E' , L2']]","[L , U' M' U]","[U2 L : [S' , L2']]",,"[u' : [L U L' , E']]","[E' R' E , l']","[L U : [L' U' L , E']]",,,"[L , U M U']","[U' L' U L' : [E , L2]]","[L , U M2 U']","[U2 R' : [E' , R2]]","[L , U' M2 U]","[E2' L' : [E' , L2]]"
BD,,,,"[M U : [R' E R , U]]","[L' B' L , S]","[M U : [R E' R' , U]]",,"[L B' : [E' , L2']]","[d2 , M U M']","[U M U' , L']",,"[M : [U' , l' E l]]","[D , M U M']","[M : [U' , L E' L']]",,"[U M U' , L]",,"[U : [M , U R' U']]","[l' M' : [U' L U , M']]","[L B' L : [S , L2']]",,"[S U : [M , U2']]"
BR,,,,"[U' R2' : [E , R U' R']]","[L' B2' L , S]","[u : [R' U R , E]]",,"[R' : [S , R2]]","[F' R' : [S , R2]]","[U' L U L : [E , L2']]",,,"[L' E L : [S , L2']]","[u' : [R' U' R , E']]",,"[U' L' U L : [E , L2']]","[U2 : [R' , U' M U]]",,"[R' U' : [M' , U2]]",U' R' U R U R U R' U' R',"[R' U : [M , U2']]","[L : [E , L2']]"
DF,,,,"[R' F2 : [R S R' , F]]","[S' , L' F L]","[f L' : [S' , L2]]",,"[R U : [M' , U2']]",,"[U M2 U' , L']",,"[R' : [S , R' F' R]]","[R' f' R' : [S' , R2]]","[R S R' , F']",,"[U M2 U' , L]","[D U' : [L' F' L , S]]","[R' U : [M' , U2']]",,"[D' L D L : [S , L2']]","[D' : [L2' , S]]","[L D L' : [S , L2]]"
DR,,,,"[U u R : [E' , R2']]","[U' : [L' F' L , S]]","[U' u' R' : [E , R2]]",,R' U' R' U R U R U R' U',"[R' F' R' : [S , R2]]","[U2 R' : [E , R2]]",,"[U' u' R : [E' , R2']]",,"[U u R' : [E , R2]]",,"[U2 R : [E' , R2']]","[L B' L' : [S , L2]]",R U R U' R' U' R' U' R U,"[R2 U' : [M' , U2]]",,"[R D L' : [E' , L2]]","[S , L2']"
DB,,,,"[l u' L : [E' , L2']]","[S' , L B' L']","[l U2 : [R' E R , U']]",,"[R U' : [M , U2]]","[l' : [U L U' , M']]","[U' M2 U , L']",,"[M2 : [U , L' E L]]","[R2' : [S , R B R']]","[r : [L F L' , S']]",,"[U' M2 U , L]",,"[R' U' : [M , U2]]","[u : [M' , D2']]","[R2 U' : [M , U2]]",,"[L' D' L : [S , L2']]"
DL,,,,"[E L : [E' , L2']]",,"[E' L' : [E , L2]]",,"[L : [E' , L2']]","[S U : [M' , U2']]","[E2' L' : [E , L2]]",,"[E' L : [E' , L2']]","[U' : [R F R' , S']]","[E L' : [E , L2]]",,"[E2' L : [E' , L2']]","[S U' : [M , U2]]","[L' : [E , L2]]","[L D L : [S , L2']]","[L2' , S]","[L D' L : [S , L2']]",
