1st Target:,UB,UR,UL,LU,LF,LD,LB,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL
UB,,"[R2 U' : [R2' , S]]","[L2' U : [L2 , S']]","[U M' U : [M , U2']]","[U : [R' E R , U2]]","[U' : [L' E' L , U2']]","[U : [R E' R' , U2]]","[R' U' : [R2' , S]]","[R' F' : [E , R U R']]","[L U : [L2' , S']]","[U' M' U' : [M , U2]]","[U' : [L' E L , U2']]","[U : [R E R' , U2]]","[U' : [L E' L' , U2']]",,"[L' U : [L2 , S']]","[U R' B R : [S , R2']]","[R U' : [R2' , S]]","[M' , U2]","[U' : [R2' , S]]","[U2 , M]","[U : [L2 , S']]"
UR,"[R2 U' : [S , R2']]",,"[M2 U' : [M , U2]]","[L F' L' , S']","[R' E R , U']","[U2' : [L' E' L , U']]","[R E' R' , U']","[E' : [R' E R , U']]","[R : [U' R' U , M']]","[R E2 R' , U']",,"[U2' : [L' E L , U']]","[R E R' , U']","[U2' : [L E' L' , U']]","[R : [U' R' U , M]]","[R' E2 R , U']",(M U' M' U') * 2,"[E : [R E' R' , U']]","[L F' : [L' S' L , F2']]","[R U R' : [S , R2]]","[R : [U' R' U , M2]]",L U L' U' L' U' L' U L U
UL,"[L2' U : [S' , L2]]","[M2 U : [M , U2']]",,,"[U2 : [R' E R , U]]","[L' E' L , U]","[U2 : [R E' R' , U]]","[L' E2' L , U]","[L' : [U L U' , M']]","[E : [L E' L' , U]]","[R' F R , S]","[L' E L , U]","[U2 : [R E R' , U]]","[L E' L' , U]","[L' : [U L U' , M]]","[E' : [L' E L , U]]",(M U M' U) * 2,"[L E2' L' , U]","[R' F : [R S R' , F2]]",R' U R U R U R' U' R' U'  ,D' R' U' R U R U R U' R' U' D,"[L' U' L : [S' , L2']]"
LU,"[U' M U' : [M' , U2]]","[S' , L F' L']",,,"[S : [R' E R , U']]","[l' U L : [S' , L2']]","[S : [R E' R' , U']]","[L : [E' , l' U' l]]","[l' : [U' L U , M']]","[r' F' : [r S r' , F']]","[M U' : [M' , U2]]","[F R' : [S , R2]]","[R' F R' : [S , R2]]","[R M U' : [M' , U2]]","[l' : [U' L U , M]]","[U' R F : [E' , R2']]",[M2 : (U' M U' M') * 2],"[l' : [E , L U' L']]","[L' F' : [E' , L2]]","[L2 : [S , L' F' L]]","[l' : [U' L U , M2]]","[S , L F' L']"
LF,"[U' : [R' E R , U2]]","[U' , R' E R]","[U' : [R' E R , U']]","[S : [U' , R' E R]]",,"[U S' U' , L]","[E' R U' R' : [E' , R2]]","[R U' R' , E]","[M' : [U' L' U , M']]",,"[M L' U' : [M' , U2']]","[r U R : [E , R2']]","[M' U R : [E , R2']]","[U' E' L : [S' , L2']]","[M' , U' L' U]","[L U L' , E']","[U' r' : [E , R U R']]","[R' : [U' , R' E R]]","[U R' F' : [R S R' , F']]","[U' E' R' : [E' , R2]]","[M' : [U' L' U , M2]]","[U E L' : [E' , L2]]"
LD,"[U : [L' E' L , U2']]","[U : [L' E' L , U]]","[U , L' E' L]","[l' U L' : [S' , L2]]","[L , U S' U']",,"[L' , U S' U']","[D : [M' , U' R U]]","[l : [D' L' D , M']]","[L f' L : [S , L2']]","[L F' L' : [S' , L2]]","[F R : [S' , R2']]","[L F' L : [S , L2']]","[M' U' L : [E' , L2']]","[l' : [U' L' U , M]]","[S' U' R : [E' , R2']]","[U l : [E , L' U' L]]","[L E2' : [L' U L , E']]","[L F : [L2' , E']]","[S , L' F' L]","[U : [L B' L' , S']]",
LB,"[U' : [R E' R' , U2]]","[U' , R E' R']","[U' : [R E' R' , U']]","[S : [U' , R E' R']]","[M' U L : [S' , L2']]","[U S U' , L']",,"[R : [U' , R E' R']]","[M' : [U' L U , M']]","[L' U L , E]","[R F : [E' , R2']]","[u R' : [S , R2]]","[R' F : [E' , R2]]","[E' R U' R' : [E , R2]]","[M' , U' L U]",,"[U' M : [r E' r' , U]]","[R' U' R , E']","[l' U : [L2 , S']]","[u' R : [E , R2']]","[M' : [U' L U , M2]]","[u L : [E , L2']]"
FR,"[R' U' : [S , R2']]","[E' : [U' , R' E R]]","[U , L' E2' L]","[M' : [U' , l E' l']]","[E , R U' R']","[L' E' : [L U L' , E']]","[R2 : [E' , R' U' R]]",,"[U' R U , M']","[R' U' R' : [E , R2]]","[R' U' E' R' : [E , R2]]","[E' , R U' R']","[R' f R : [S' , R2']]",,"[U' R U , M]","[R' U' R : [E' , R2']]","[U L B' : [L2' , E']]","[U R : [S , R2']]","[U R U' : [M' , U2]]",U2 R U' R' U' R' U' R U R U',"[U' R U , M2]","[U L' : [E' , L2]]"
FD,"[R' F' : [R U R' , E]]","[r : [U' R' U , M]]","[l' : [U L U' , M]]","[l' : [M' , U' L U]]","[M2 : [U' L' U , M]]","[U : [L F L' , S]]","[U' M' : [U' , R E' R']]","[M' , U' R U]",,"[M' , U L' U']","[r : [M' , U R' U']]","[M2 : [U R' U' , M]]","[U' : [R' F' R , S']]","[M2 : [U R U' , M]]","[U' : [R' F' R , S]]","[M' , U L U']","[U : [M U M' , d2]]","[M' , U' R' U]",,"[U R' F' R : [S , R2']]","[D : [S' , R F R']]","[U' L F L' : [S' , L2]]"
FL,"[L U : [S' , L2']]","[U' , R E2 R']","[E : [U , L E' L']]","[r' F2 : [r S r' , F]]",,"[L f' L' : [S , L2]]","[E , L' U L]","[R' U' R : [E , R2']]","[U L' U' , M']",,"[M' : [U , r' E r]]","[L2' : [E , L U L']]","[R E : [R' U' R , E]]","[E' , L' U L]","[U L' U' , M]","[U' L' : [S' , L2]]","[U' R' B : [R2 , E]]","[R U' R : [E , R2']]","[U' L' U : [M' , U2']]","[U' R : [E , R2']]","[U L' U' , M2]",U2' L' U L U L U L' U' L' U
RU,"[U M U : [M' , U2']]",,"[S , R' F R]","[M U : [M' , U2']]","[M L' U : [M' , U2']]","[L F' L : [S' , L2']]","[R F : [R2' , E']]","[R' U' E' R : [E , R2']]","[r : [U R' U' , M']]","[R' : [E , r U r']]",,"[S' : [L' E L , U]]","[r U' R' : [S , R2]]","[S' : [L E' L' , U]]","[r : [U R' U' , M]]","[r : [E' , R' U R]]",[M2 : (U M U M') * 2],"[R u' R' : [E' , R2]]","[R F : [E , R2']]","[S' , R' F R]","[r : [U R' U' , M2]]","[R2' : [S' , R F R']]"
RB,"[U : [L' E L , U2']]","[U : [L' E L , U]]","[U , L' E L]","[L' F' : [E , L2]]","[r U R' : [E , R2]]","[L F' : [E , L2']]","[u' L : [S' , L2']]","[R U' R' , E']","[M' : [U R' U' , M']]","[L' : [U , L' E L]]","[S' : [U , L' E L]]",,"[U' S U , R]","[M' U' R' : [S , R2]]","[M' , U R' U']","[L U L' , E]","[U M : [l' E l , U']]",,"[r U' : [R2' , S]]","[u' R' : [E' , R2]]","[M' : [U R' U' , M2]]","[u L' : [E' , L2]]"
RD,"[U' : [R E R' , U2]]","[U' , R E R']","[U' : [R E R' , U']]","[R' F R : [S , R2']]","[M' U R' : [E , R2]]","[R' F R' : [S' , R2]]","[R' F : [R2 , E']]","[R' f R' : [S' , R2]]","[r' : [D R D' , M']]","[U' : [S' , R' F2 R]]","[r U' R : [S , R2']]","[R , U' S U]",,"[R' , U' S U]","[r : [U R U' , M]]","[R' E2 : [R U' R' , E]]","[U' r' : [E' , R U R']]","[D' : [M' , U' R' U]]","[R' F' : [R2 , E]]",,"[U' : [R' B R , S]]","[S' , R F R']"
RF,"[U : [L E' L' , U2']]","[U : [L E' L' , U]]","[U , L E' L']","[R M U : [M' , U2]]","[U E R' : [S , R2]]","[M' U' L' : [E' , L2]]","[E' R U' R : [E , R2']]",,"[M' : [U R U' , M']]","[L' U L , E']","[S' : [U , L E' L']]","[E' R' U' R : [E , R2']]","[U' S U , R']",,"[M' , U R U']","[L : [U , L E' L']]","[U l : [E' , L' U' L]]","[R' U' R , E]","[R2' F' : [R2 , E]]","[U' E' R : [E , R2']]","[M' : [U R U' , M2]]","[U E L : [E , L2']]"
BU,,"[R : [M , U' R' U]]","[L' : [M , U L U']]","[L' : [U' L U , M']]","[U' L' U , M']","[L' : [U' L' U , M']]","[U' L U , M']","[M , U' R U]","[U' : [S , R' F' R]]","[M , U L' U']","[R : [U R' U' , M']]","[U R' U' , M']","[R : [U R U' , M']]","[U R U' , M']",,"[M , U L U']","[U' : [S , R B R']]","[M , U' R' U]","[U : [R' F' R , S]]","[r' : [U' R' U , M']]","[U : [R B R' , S]]","[l : [U L U' , M']]"
BL,"[L' U' : [L2 , S']]","[U' , R' E2 R]","[u : [L' E L , U']]","[U' R F : [R2' , E']]","[E' , L U L']","[S' U' R' : [E' , R2]]",,"[R' U' R' : [E' , R2]]","[U L U' , M']","[U' L : [S' , L2']]","[M' : [U , R E' R']]","[E , L U L']","[R' E' : [R U' R' , E']]","[L2 : [E' , L' U L]]","[U L U' , M]",,"[U : [L , U M U']]","[R U' R' : [E' , R2]]","[U' L U : [M' , U2']]","[U' R' : [E' , R2]]","[U L U' , M2]",L U' L' U' L' U' L U L U
BD,"[U' R' B R : [S , R2']]",(U M U M') * 2,(U' M U' M') * 2,[M' : (U M' U M) * 2],"[U' M : [U , R' E R]]","[U l : [L' U' L , E]]","[U' M : [U , r E' r']]","[U L B' : [E' , L2']]","[U : [M' U' M , d2]]","[U' R' B : [E , R2]]",[M' : (U' M' U' M) * 2],"[U M : [U' , l' E l]]","[U' r' : [R U R' , E']]","[U M : [U' , L E' L']]","[U' : [R B R' , S]]","[U2' : [M , U' L U]]",,"[U2 : [M , U R' U']]","[D' : [S' , R F R']]","[U L B' L : [S , L2']]",,"[U' R' B R' : [S' , R2]]"
BR,"[R U' : [S , R2']]","[u' : [R E' R' , U]]","[U , L E2' L']","[M' : [U' , L' E L]]","[R2' : [E , R U' R']]","[D : [U' R' U , M']]","[E' , R' U' R]","[U R' : [S , R2]]","[U' R' U , M']","[R U' R' : [E , R2]]","[R u' R : [E' , R2']]",,"[S U L : [E , L2']]","[E , R' U' R]","[U' R' U , M]","[R U' R : [E' , R2']]","[U' : [R' , U' M U]]",,"[U R' U' : [M' , U2]]",R' U R U R U R' U' R' U',"[U' R' U , M2]","[U L : [E , L2']]"
DF,"[U2 , M']","[L F : [L' S' L , F2']]","[R' F' : [R S R' , F2]]","[L' F' : [L2 , E']]","[U R' F2 : [R S R' , F]]","[L F : [E' , L2']]","[l' U : [S' , L2]]","[D' U L : [E' , L2']]",,"[U' D R' : [E , R2]]","[R F : [R2' , E]]","[r U' : [S , R2']]","[R' F' : [E , R2]]","[R2' F' : [E , R2]]","[U : [S , R' F' R]]","[D U' R : [E' , R2']]","[D' : [R F R' , S']]","[U D' L' : [E , L2]]",,"[R' F' : [R S' R' , F2]]","[M' : [U2 , M']]","[L F : [L' S L , F2']]"
DR,"[U' : [S , R2']]","[R' U R' : [S , R2]]",U R U R' U' R' U' R' U R,"[L : [F' , L S L']]","[U' E' R : [E' , R2']]","[L' F' L , S]","[u' R' : [E , R2]]",U R' U' R' U R U R U R' U2,"[U R' F' R' : [S , R2]]","[U' R' : [E , R2]]","[R' F R , S']","[u' R : [E' , R2']]",,"[U' E' R' : [E , R2]]","[R' : [U' R' U , M]]","[U' R : [E' , R2']]","[U L B' L' : [S , L2]]",U R U R U' R' U' R' U' R,"[R' F : [R S' R' , F2]]",,"[U' R' D R' : [S' , R2]]","[U' : [R2' , S']]"
DB,"[M , U2]","[r M' : [U' R' U , M2]]",D' U R U R' U' R' U' R' U R D,"[L' M : [U' L U , M2]]","[M : [U' L' U , M2]]","[U : [S' , L B' L']]","[M : [U' L U , M2]]","[M2 ,  U' R U]","[D : [R F R' , S']]","[M2 , U L' U']","[R M : [U R' U' , M2]]","[M : [U R' U' , M2]]","[U' : [S , R' B R]]","[M : [U R U' , M2]]","[U : [S , R B R']]","[U' D' R : [E' , R2']]",,"[M2 , U' R' U]","[D2 , M]","[U' R D R' : [S' , R2]]",,U' R' D' R D R D R D' R' U D'
DL,"[U : [S' , L2']]","[R U L' : [E , L2]]","[L U' L : [S' , L2']]","[L F' L' , S]","[U E L : [E' , L2']]",,"[u L' : [E , L2]]","[U L : [E' , L2']]","[U' L F L : [S' , L2']]",U' L U L U' L' U' L' U' L U2',"[R' : [F , R' S' R]]","[u L : [E' , L2']]","[R F R' , S']","[U E L' : [E , L2]]","[L : [U L U' , M]]",U' L' U' L' U L U L U L',"[U' R' B R : [S' , R2']]","[U L' : [E , L2]]","[L F' : [L' S L , F2']]","[U : [L2' , S]]",U' D R D R' D' R' D' R' D R U,
